"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
38,145,"об мк","Мемориал 411 батареи –
ул. Ак. Заболотного","Мемориал 411 бат (ул.К.Либкнехта), 
ул. Ореховая, ул. М.Демченко,
 ул. Белорусская, ул. ОТважных, ул.Архитекторская, ул.Ильфа и Петрова, ул.Ак.Вильямса, ул.Ак.Королева, ул.25-й 
Чап. Дивизии,  ул.Комарова, Люстдорфская дорога, пл.Толбухина, ул.Краснова,  ул.Среднефонтанская, 
ул. Пушкинская, ул. Греческая, 
ул. Екатерининская, ул. Ланжероновская, 
ул. Гаванная, пер. Маяковского, ул.Преображенская, ул. Софиевская, 
сп. Маринеско, ул. Ч. Казачества, Николаевская дорога, Днепропетровская дор., ул.Заболотного","ул.Заболотного, пр-т Добровольского, Николаевская дорога, ул. Атамана Головатого,  ул.Пастера,  ул.Преображенская, ул. Бунина ул.Ришельевская, бул.Итальянский, ул.Среднефонтанская, ул.Краснова, пл.Толбухина, Люстдорфская дорога, ул.Комарова, ул.25-й Чап. Дивизии, ул.Ак.Королева, ул.Ак.Вильямса, ул.Ильфа и Петрова,  ул.Архитекторская, 
ул. Отважных, ул. Белорусская, 
ул. М.Демченко, ул. Ореховая, Мемориал 411 батареи (ул. К.Либкнехта)","07:00-18:00","2(-)","6(-)","65,0 км","150 мин"
,145,"мт мк",,,,"06:15-22:30","30(25)","180(150)","65,0 км","120 мин"
,145,"мт авт",,,,"07:30-20:00","3 (-)","12 (-)","65,0 км","130 мин"
39,146,"мт мк","Пр-т Жукова (ТЦ Метро) –
ул. Затонского","ул. М. Жукова (""ТЦ ""Метро""), ул.Вильямса, ул.Королева,
 пр. Ак.Глушко, Люстдорфская дор., 
ул. Д. Донского,  ул.Чубаевская, Фонтанская дор, ул.Черняховского,  просп. Шевченко, ул.Пироговская, ул.Мариинская, бр.Итальянский, ул.Канатная, ул.Жуковского, ул.Преображенская, ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дор., пр.Добровольского, ул.Затонского.","ул.Затонского, просп.Добровольского, Николаевская дор., ул.Ат.Головатого, сп.Херсонский, ул. Пастера, ул.Преображенская, ул.Бунина, ул.Канатная, ул. Семинарская, 
просп. Шевченко, ул.Черняховского, Фонтанская дорога, ул.Чубаевская,
 ул.Д. Донского, Люстдорфская дорога, 
пр-т Ак.Глушко, ул.Ак.Королёва, ул.Вильямса, ул. М. Жукова 
(""ТЦ ""Метро"")","06:30-22:00","50 (45с, 40в)","200 (180/160)","76,1 км","183 мин"
40,148,"об мк","ул. Архитекторская-пр.Александровский","ул.Архитекторская, ул.Ак.Королева, ул.25-й Чап. Дивизии, ул.Комарова, пл.Толбухина, ул.Краснова, ул.Среднефонтанская, ул.Пушкинская, ул.Жуковского, просп.Александровский","просп Александровский, ул. Бунина, ул.Ришельевская, бул. Итальянский, ул.Среднефонтанская, ул.Краснова,пл.Толбухина, ул.Комарова, ул.25-й Чап.Дивизии, ул.Ак.Королева, ул.Архитектрская","07:30-18:00","3 (-)","9 (-)","27,0 км","120 мин"
,148,"мт мк",,,,"06:15-23:00","25(23)","175(161)","27,0 км","80 мин"
41,149,"об мк","ул. Архитекторская-пр.Александровский","ул.Архитекторская, ул. Ак.Королева, 
пр.Ак.Глушко, пр.М.Жукова, ул.Комарова, Люстдорфская дорога, ул.Водопроводная, пл. Старосенная, бул.Итальянский, ул. Ришельевская, ул.Новощепной ряд, ул.Екатерининская, ул.Жуковского, просп.Александровский","просп.Александровский, ул. Бунина, ул.Екатерининская, ул. ул.Новощепной ряд, ул.Водопроводная, Люстдорфская дорога, ул.Комарова, пр.М.Жукова, просп.Ак.Глушко, ул.Ак.Королева, ул.Архитекторская","08:00-19:30","2(0)","6(0)","24,4 км","97 мин"
,,"мт мк",,,,"07:30-21:30","18(15)","96(90)","24,4 км","90 мин"
42,150,"об мк","ул. Королева  -
пр-т Александровский","ул. Ак.Королева, пр.Глушко, Люстдорфская дорога, пл.Толбухина, ул.Краснова, ул.Среднефонтанская, ЦПУ Вокзал, ул.Пушкинская,  ул. Жуковского, пр.Александровский,","Просп. Александровский, ул. Бунина, ул.Ришельевская, бул.Итальянский, ул.Среднефонтанская, ул.Краснова, пл.Толбухина, Люстдорфская дорога, просп.Глушко, ул.Ак.Королева","06:00-18:10","2 (2)","12 (12)","24,4 км","85 мин"
,150,"мт мк",,,,"06:00-21:25","25 (20)","225 (180)","24,4 км","84 мин"
43,151,"об мк","ул. Ж. Кюри –  ЦПУ «Мост»","ул. Бочарова (ул.Ж.Кюри), пр.Добровольского, Николаевская дор, ул.Ат. Головатого, ул.Одария (Мост)","Мост Пересыпь, ул.Черноморского Казачества, Николаевская дорога, просп.Добровольского, ул.Бочарова (ул.Ж.Кюри)","07:00-11:00","1 (-)","5 (-)","25.6 км","80 мин"
44,155,"об авт","ул.Паустовского – Ж/Д вокзал","ул.Паустовского, просп.Добровольского, Николаевская дорога, ул.Атамана Головатого, ул.Приморская, 
сп. Польский, ул.Польская, ул.Еврейская, ул.Осипова, ул.Б.Арнаутская, ул.Шмидта, ул. Пантелеймоновская 
( Ж/д вокзал)","ул.Пантелеймоновская (Ж/д вокзал), ул.Пушкинская, ул.М.Арнаутская, ул.Осипова, ул.Еврейская,  ул.Польская, сп.Польский, ул.Приморская, ул.Черноморского казачества, Николаевская дорога, просп.Добровольского, ул.Паустовского","06:45-20:00","2(-)","8(-)","38,8 км","111 мин"
45,156,"об авт","ул. Высоцкого – ул.Архитекторская","ул.Высоцкого, ул.Сахарова, ул. Бочарова, Днепропетровская дор., Южная дор., Николаевская дор., ул.Атамана Головатого, ул.Балковская, ул.Дальницкая, ул. Стуса, Ивановский путепровод, ул.Щорса, ул. Гастелло,
 ул. 7-я Степная, Платановая, Радостная, пл. Б.Деревянко, ул.Ак.Филатова, Люстдорфская дорога, просп.Глушко,  ул.Королева, ул.Архитекторская.","ул.Архитекторская.,  просп.Глушко, Люсдорфская дор, ул.Королева, 
 ул. Ак.Филатова, пл. Б.Деревянко, 
ул. Радостная, Полтавская, ул. 7-я Степная,
 ул. Гастелло, ул.Щорса, Ивановский 
путевод, ул. Стуса, ул.Дальницкая ул.Балковская, 
ул. Черноморского казачества, Николаевская дорога, Южная дор., Днепропетровская дорога, ул.Ген.Бочарова, ул.Сахарова, ул.Высоцкого.","06:00-21:00","1 (1)","6 (3)","80,0 км","185 мин"
,156,"мт авт",,,,"05:30-22:00","4(-)","12(-)","80,0 км","185 мин"
,156,"мт мк",,,,"05:30-24:00","20(20)","80(80)","80,0 км","164 мин"
46,162,"об авт","ЦПУ «Вокзал»- Таировское кладбище","Старосенной проезд (ЖДВ), ул.Водопроводная, Люстдорфская дорога, ул. Космонавтов, ул.25-й Чапаевской дивизии, ул. Ак. Королева, ул. Ак. Глушко,  дорога на Ильичёвск, Таировское кладбище","Таировское кладбище, дорога на Ильичёвск, просп.Ак.Глушко, ул.Ак.Королева, ул.25-й Чап. дивизии, ул.Космонавтов, Люстдорфская дорога, ул.Водопроводная, пл.Старосенная, Старосенной проезд (ЖДВ)","06:20-20:00","1 (-)","4 (-)","31,8 км","93 мин"
47,165,"мт мк","Крыжановка - Слободка (онкодиспансер)","""Крыжановка"", Днепропетровская дор., ул.Паустовского, просп.Добровольского, Николаевская дорога, ул. Ат.Головатого, ул.Балковская, ул. Маловского, ул.Рачкова, ул.Ак. Воробьева, 
ул.С. Ядова, ул. Хуторская, ул.Агрономическая, ул.Неждановой","ул.Неждановой, ул.Агрономическая, ул.Ак.Воробъева, ул.Рачкова, ул.Маловского, ул.Балковская, ул.Черноморского казачества, Николаевская дорога, просп.Добровольского, ул.Паустовского, Днепропетровская дор., ""Крыжановка""","06:00-21:00","5(5)","35(35)","41,3 км","110 мин"
48,166,"об авт","ул. Паустовского - ул.Жуковского","ул.Паустовского, Днепропетровская дорога, Южная дор., Николаевская дорога, ул.Атамана Головатого,
 сп. Херсонский, ул.Пастера, ул.Преображенская, ул.Бунина, просп.Александровский, ул.Жуковского","ул.Жуковского, ул.Преображенская, ул.Садовая, ул.Торговая, ул.Пастера, ул.Конная, ул. Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дорога, Южная дор., Днепр. дорога, ул.Паустовского","06:30-10:20","1 (-)","4 (-)","35,6 км","88 мин"
49,168,"мт мк","ул. М. Говорова- 
маг. «Копейка»","ул. М.Говорова, ул.С.Варламова, ул.Генуэзская, ул.Посмитного, ул.Чубаевская, ул.Толбухина, ул.Ак.Филатова, пл.Б.Деревянко, 
ул. Радостная, ул. Полтавская, 
ул. Кострова, ул. Центральный аэропорт, ул.Щорса, Ивановский путепровод, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.Старопортофранковская, ул.Торговая, ул.Пастера, ул.Ольгиевская, 
сп. Маринеско, ул. Черноморского казачества, Николаевская дор., 
Южная дор., Днепропетровская дор.,
 маг. ""Копейка"".","маг. ""Копейка"", Днепропетровская дор., Южная дор., Николаевская дор., Ат.Головатого, сп. Херсонский, 
ул. Пастера, ул.Ольгиевская, ул.Старопортофранковская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, Ивановский путепровод, ул.Щорса, ул. Центральный аэропорт, 
ул. Кострова, ул. Платановая, ул. Радостная, пл.Б.Деревянко, ул.Ак.Филатова, ул.Толбухина, ул.Глинки, ул.Ромашковая, ул.Чубаевская, ул.Посмитного, ул.Генуэзская, ул.С. Варламова, ул.М.Говорова","07:00-21:00","32(28);
8(7)","96(84);        24 (21)","82,0 км","200 мин"
,,"об мк",,,,"07.30-19.00","1(-)","3(-)","76,0 км","230 мин"
50,170,"об авт","Таврия-В Суворовский – 
ул. Жуковского","Таврия-В Суворовский (Старокиевское шоссе), ул. Паустовского, Днепропетровская дор., Южная дор., Николаевская дор., ул.Ат. Головатого, 
сп. Херсонский, ул. Пастера, ул.Преображенская, ул. Бунина, Александровский пр-т, ул. Жуковского"," ул.Жуковского, ул.Преображенская, ул.Софиевская, сп.Маринеско, ул.Черноморского казачества, Николаевская дор., Южная дор., Днепропетровская дор.,
 ул. Паустовского, Таврия-В Суворовский (Старокиевское шоссе) ","06:30-19:30","1 (-)","5 (-)","39,0 км","127 мин"
,170,"мт авт",,,,"06:00-22:30","2(-)","10(-)","39,0 км","115 мин"
,170,"мт мк",,,,"06:00-22:30","10(10)","70(70)","39,0 км","99 мин"
51,171,"мт мк","ЦПУ «Вокзал» - Промрынок 7 км","Ж/д вокзал, ул.Пантелеймоновская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, Овидиопольская дор, ул. Базовая (Мылка),  Промрынок 7км","Промрынок 7км, ул. Базовая (Мылка), Овидиопольская дор, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.Мечникова, ул.Пантелеймоновская, ул.Ришельевская, бул.Итальянский, 
Ж/д вокзал","06:00-17:00","20(20)","120(120)","27,0 км","60 мин"
52,175,"мт мк","аптека Гаевского- Мемориал 411 батареи","ул.Садовая, ул.Преображенская, ул.Бунина, ул.Ришельевская, ул. Водопроводная, бул.Итальянский, ул.Среднефонтанская, ул.Пироговская, ул.Канатная, ул.Сегедская,  Фонтанская дор., пр.Адмиральский, ул.Малиновского, ул.Гайдара, ул.Ген.Петрова, ул.И.Рабина, ул.25-й Чап.Дивизии, ул. Ак. Королёва, 
ул. Архитекторская, ул. Отважных, 
ул. Белорусская, ул. М. Демченко,  ул. Карла Либкнехта, Мемориал 411 батареи","Мемориал 411 батареи, ул. Карла Либкнехта, ул. М. Демченко, 
ул. Белорусская, ул. Отважных, 
ул. Архитекторская, 
ул. Ак. Королоёва, ул.25-й Чап.Дивизии,  ул.Гайдара, ул.Малиновского, пр.Адмиральский, ул.Сегедская,  пр.Гагарина, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул.Пушкинская, ул.Греческая, ул.Ришельевская, ул.Жуковского, Тираспольская пл., ул. Нежинская, 
ул. Спиридоновская, пл.Соборная","06:30-22:00","40(30)","240(180)","41,1 км","140 мин"
53,185,"мт мк","аптека Гаевского – Мемориал 411
батареи","ул.Садовая, ул.Преображенская,  ул.Бунина, ул.Екатерининская, ул.М.Арнаутская, ул.Канатная, ул.Пироговская, пр.Шевченко, ул.Черняховского, Фонтанская дорога, ул.Костанди, ул. Равенства, ул. Львоская,  Люстдорфская дорога, ул.Левитана, ул.Ильфа и Петрова, ул. Архитекторская, 
ул. Отважных, ул. Белорусская, 
ул. М.Демченко, ул. Карла Либкнехта, Мемориал 441 батареи"," Мемориал 441 батареи, ул. Карла Либкнехта, ул. М.Демченко,
 ул. Белорусская, ул. Отважных, 
ул. Архитекторская, ул.Ильфа и Петрова , ул.Левитана, Люстдорфская дорога,
ул. Львовская, ул. Ёлочная, ул.Костанди, Фонтанская дорога, ул.Черняховского, пр.Шевченко,  ул.Мариинская, бул.Итальянский, Привокзальная пл., ул.Пантелеймоновская, ул.Екатериниская, ул.Жуковского, Тираспольская пл.,
 ул. Нежинская, ул. Спиридоновская, Соборная пл.","05:45-21:00","40 (30)","240 (180)","40,8 км","136 мин"
54,190,"мт мк","ул. Паустовского - Ж/Д вокзал","ул. Паустовского, пр.Добровольского, Николаевская дорога, ул. Атамана Головатого, ул.Приморская, сп.Польский, ул.Польская, ул.Еврейская, ул.Осипова, ул.М.Арнаутская, ул.Гимназическая, Итальянский б-р.","Итальянский б-р, ул.Л.Шмидта, ул.Пушкинская, ул.М.Арнаутская, ул.Осипова, ул.Еврейская, ул.Польская, сп.Польский, ул.Приморская, ул.Черноморского казачества, Николаевская дорога, пр.Добровольского, ул.Паустовского","05:20-24:00","18(18);
15(13)","126(126); 105(91)","43,0 км","104 мин"
55,191,"мт мк","Мемориал 411батареи - Мост  Пересыпь","Мемориал 411 бат., ул.Д.Ковалевского, 
ул. Долгая, пр.Ак.Глушко, пр.М.Жукова, ул.25й Чап. Дивизии, ул.Варненская, ул.Терешковой, ул.Космонавтов, ул.Ген.Петрова, ул.И.Рабина, пл.Б.Деревянко, ул.Щорса, ул.Спартаковская, ул. Балковская, 
ул. Заньковецкая, ул. Степовая,
 ул. Косвенная, ул. Средняя, 
ул. Балковская, ул.Черноморского Казачества, ул.Церковная, ул.Щеголева, ул.Одария (мост Пересыпь)"," ул.Одария (Мост Пересыпь), ул.Балковская, ул. Грушевского, 
ул. Балковская, ул. Средняя, 
ул. Косвенная, ул. Степовая, 
ул. Заньковецкая, ул. Балковская,  ул.Спартаковская, ул.Щорса, пл.Б.Деревянко, ул.И.Рабина, ул.Ген.Петрова, ул.Варненская, ул.25-й Чап.Дивизии, ул.М.Жукова, пр.Глушко, ул.Долгая, ул.Дача Ковалевского, Мемориал 411 бат.","05:30-23:40","31(21); 16(13)","186(126); 96(78)","41,0 км","110 мин"
,,"об мк",,,,"06.30-20.00","2(-)","6(-)","41,5 км","145 мин"
56,197,"мт мк","Мемориал 411 батареи – Слободка (Онкодиспансер)","Мемориал 411 бат (ул. Д.Ковалевского), 
ул. Ореховая, ул. М.Демченко, 
ул. Белорусская, ул. Отважных, ул.Архитекторская, ул.Ак.Королева, ул.Ак.Вильямса, ул. Ильфа и Петрова, ул.Левитана, пр.М.Жукова, ул.25-й  Чапаевской дивизии, ул. Гайдара, ул.Ген.Петрова, ул.И.Рабина, 
пл. Б.Деревянко, ул. Щорса, Ивановский путепровод, ул. В.Стуса, ул.Дальницкая, ул.Бугаевская, ул. Грушевского, ул.Балковская,  ул. Маловского, ул.Рачкова, ул.Ак.Воробьева, ул.Агрономическая, ул.Неждановой","ул.Неждановой, ул.Агрономическая, ул.Ак.Воробъева, ул.Рачкова, ул.Маловского, ул.Балковская, ул.Бугаевская, ул.Дальницкая, ул.В.Стуса, Ивановский путепровод, ул.Щорса, пл.Б.Деревянко, ул.И.Рабина, ул.25-й Чап. Дивизии, ул.М.Жукова, ул.Левитана, ул.Ильфа и Петрова, ул.Ак.Вильямса, ул.Ак.Королева, ул.Архитекторская, ул. Отважных, ул. Белорусская, ул. М.Демченко, ул. Ореховая, Мемориал 411 батареи (ул. Д.Ковалевского)","06:30-20:30","30 (16)","150 (80)","49,2 км","140 мин"
,,"об мк",,,,"07.00-19.00","2/0","6/0",,"65 мин"
57,198,"мт мк","ул. Неждановой - Аркадия","ул.Неждановой (Онкодиспансер), ул.Агрономическая, ул.Ак.Воробъева,  ул.М.Грушевского, ул.Разумовская, 
ул. Мечникова, ул.М.Арнаутская, ул.Ришельевская, Итальянский бул., ул.Среднефонтанская, ул. Семинарская, пр.Шевченко, пл. 10 Апреля, 
ул. Генуэзская, Аркадия","Аркадия, ул. Генуэзская, пл. 10 Апреля, пр.Шевченко, ул.Семинарская, ул.Среднефонтанская, ул. Л.Шмидта,  ул.Пантелеймоновская, ул.Екатерининская, ул.Б.Арнаутская, ул.Разумовская, ул.М.Грушевского, ул.Ак.Воробъева, ул.Агрономическая, ул.Неждановой, 
ул. Бадаева","07:00-21:00","14 (12)","84 (72)","27,2 км","80 мин"
58,200,"мт мк","Таврия В «Маршал» - ул. Старопортофранковская угол ул. Пастера»","просп. Ак. Глушко (Таврия В), ул. Ильфа  и Петрова, ул.Архитекторская, ул.Ак.Королева, ул.25-й Чап. Дивизии, ул.Комарова, Люстдорфская дорога, ул.Водопроводная, ул. Старосенная площадь, ул. Главная, Итальянский бул., Привокзальная пл., ул. Пушкинская, 
ул. Успенская, ул. Дегтярная, 
пл. Льва Толстого, Лютеранский пер. 
ул. Старопортофранковская,
 ул. Ольгиевская, ул. Пастера, 
ул. Пастера угол  
ул. Старопортофранковская","ул. Старопортофранковская угол 
ул. Пастера, ул. Пастера, ул. Ольгиевская, 
ул. Старопортофранковская, ул. Льва Толстого, ул. Дегтярная, ул. Успенская, 
   ул. Ришельевская, ул. Водопроводная, Люстдорфская дорога, ул.Комарова, 
ул.25-й Чап. Дивизии, ул.Ак.Королева, ул.Архитекторская  ул.Ильфа  и Петрова, 
 просп. Ак. Глушко (Таврия В)","06:30-21:00","15 (15)","105 (105)","26,4 км","86 мин"
59,"200а","мт мк","пос. Мизикевича – ЦПУ «Вокзал»","сел. Мизикевичи, дорога на Ильичёвск, 
просп. Ак. Глушко (Таврия В), ул. Ильфа  и Петрова, ул.Архитекторская, ул.Ак.Королева, ул.25-й Чап. Дивизии, ул.Комарова, Люстдорфская дорога, ул.Водопроводная, пл.Старосенная"," Старосенная пл., ул.Водопроводная, Люстдорфская дорога, ул.Комарова, ул.25-й Чап. Дивизии, ул.Ак.Королева, ул.Архитекторская  ул.Ильфа  и Петрова,  просп. Ак. Глушко, дорога на Ильичёвск, 
сел. Мизикевичи","07:00-16:00","5(5)","35(35)","30,2 км","100 мин"
60,201,"мт мк","ЦПУ «Вокзал» – 
ул. Обнорского"," пл.Старосенная, бул.Итальянский, ул.Пушкинская,  ул.Б.Арнаутская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, Ивановский путепровод, ул.Ак.Гаркавого, ул.Проселочная, Дальницкое шоссе,Тираспольское шоссе, Окружная дорога-Магистральная, ул.Нескучная, ул.Обнорского (школа)","ул.Обнорского (школа), ул.Нескучная, Магистральная, Окружная дорога, Тираспольское шоссе, Дальницкое шоссе, ул.Проселочная, ул.Ак.Гаркавого, Ивановский путепровод, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого,  ул.М.Арнаутская, ул.Ришельевская, ул.Водопроводная, Старосенная пл.","05:10-23:00","33 (30)","198 (180)","35,4 км","104 мин"
61,202,"об авт","ЦПУ «Вокзал» - кладбище Западное","пл.Старосенная, бул.Итальянский, ул.Ришельевская, ул.Новощеной ряд, ул.Екатерининская, ул.Б.Арнаутская, ул.Мечникова, ул.Б.Хмельницкого, ул.Мельницкая, Ивановский путепровод, ул.Ак.Гаркавого, ул.Проселочная, Дальницкое шоссе, Тираспольское шоссе, Окружная дорога (кладбище Западное)","Окружная дорога (кладбище Западное), Тираспольское шоссе, Дальницкое шоссе, ул.Проселочная, ул.Ак.Гаркавого, Ивановский путепровод, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.М.Арнаутская, ул.Ришельевская, ул.Новощепной ряд, ул.Водопроводная, Старосенная пл.","07:00-16:00","2 (2)","10 (10)","28,9 км","80 мин"
62,203,"мт мк","Цементный завод –парк Шевченко","ул.Хуторская (Цементный завод) ул.С.Ядова, ул.Ак.Воробьева, ул.Краснослободская,  сп.Ольгиевский, сп.Скидановский, ул.Манежная, ул.Ольгиевская, ул.Пастера, ул.Преображенская, ул.Троицкая, ул.Маразлиевская, ул.Успенская, ул.Белинского","ул.Белинского, ул.Успенская, ул. Канатная,  ул.Жуковского, пл.Тираспольская, ул.Нежинская, ул.Спиридоновская, пл.Соборная, ул.Садовая, ул.Торговая, ул.Пастера, ул.Ольгиевская, ул.Старопортофранковская, сп.Ольгиевский, сп. Краснослободской, ул.Краснослободская, ул. Ширшова, 
 ул. Слободская, ул.Ак.Воробъева, ул.С.Ядова, ул. Хуторская (Цементный завод)","07:00-20:00","12 (10)","84 (70)","26,0 км","75 мин"
63,208,"об мк","ул. Шишкина – ул.Промышленная","ул. Шишкина, Люстдорфская дор.,ул.Тополевая, ул.Ак.Королёва, ул.25-й Чапаевской Дивизии, ул.Варненская, ул.Ак.Филатова, пл.Толбухина, Люстдорфская дорога, пр.Адмиральский, Фонтанская дорога, ул.Сегедская, пр.Гагарина, пр.Шевчеко, ул.Пироговская, ул.Мариинская, Итальянский б-р, ул.Пушкинская, 
ул.Б. Арнаутская, ул.Разумовская, 
ул. М.Грушевского, Химическая, ул.Промышленная","ул.Промышленная, ул.Химическая, ул.М.Грушевского, ул.Разумовская, ул.Мечникова, ул.М.Арнаутская, ул.Ришельевская, бул.Итальянский, ул.Среднефонтанская, ул.Пироговская, пр.Шевченко, пр.Гагарина, ул.Сегедская, Фонтанская дорога, пр.Адмиральский, Люстдорфская дорога, пл.Толбухина, ул.Ак.Филатова, ул.Варненская. ул.25-й Чапаевской дивизии, ул.Ак.Королёва, ул.Тополевая, Люстдорф. дор., ул.Шишкина","07:00-21:00","3 (-)","15 (-)","40,6 км","140 мин"
,,"мт мк",,,,"06:00-22:00","30 (25)","180 (150)","40,6 км","130 мин"
64,210,"об авт","Ж/М Школьный – ЦПУ «Мост»","Ж\м Школьный, пр.М.Жукова, ул.25-Чап. Дивизии, ул.Космонавтов, пр.Адмиральский, Фонтанская дорога, ул.Сегедская, пр.Гагарина, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул.Л.Шмидта, ул.М.Арнаутская, ул.Осипова,  сп.Польский, ул.Приморская (мост)","ул.Приморская (Мост Пересыпь), сп.Польский,  ул.Жуковского, ул.Ришельевская,  
ул. Водопроводная, бул.Итальянский,  ул.Среднефонтанская, ул. Пироговская, 
ул. Канатная, ул.Сегедская, Фонтанская дор, пр.Адмиральский, ул.Космонавтов ул.25й Чап.Дивизии, пр.М.Жукова, 
Ж/м Школьный","06:30-19:10","2(-)","8(-)","31.9 км","105 мин"
,210,"мт авт",,,,"06:30-21:00","30(27)","180(162)","31.9 км","89 мин"
65,214,"мт мк","Св. Иверский монастырь – ул. Неждановой (Онкодиспансер)","Св.Ив.Монастырь, ул.Левитана, 
 ул. Массив Радужный, ул. Массив Радужный, 4 (разворот), обратно 
ул. Массив Радужный, ул. Левитана, пр.М.Жукова, ул.25-й Чап. дивизии, ул.Космонавтов, Люстдорфская дорога, ул.Водопроводная, пл.Старосенная, бул.Итальянский,  ул.Новощепной ряд, ул. Екатирининская, ул.Пантелеймоновская, ул.Старопортофранковская, 
ул. Ольгиевская, ул. Пастера, ул.Старопортофранковская, спук Ольгиевский, ул. Краснослободская, 
ул. Ширшова, ул. Слободская, 
ул. Ширшова, ул. Агрономическая, 
ул. Неждановой (Онкодиспансер)","ул. Неждановой (Онкодиспансер), 
ул. Агрономическая, ул. Краснослободская, Скидановский спуск, ул. Манежная, 
ул. Ольгиевская, ул.Старопортофранковская,
 ул. Пастера, ул. Ольгиевская, 
ул. Новосельского, пер. Сеченёва,  ул.Старопортофранковская,ул.М.Арнаутская, ул.Екатерининская, ул.Новощепной ряд, ул.Водопроводная, Люстдорфская дор, ул.Космонавтов, ул.25-й Чап. дивизии, ул.М.Жукова, ул.Левитана, ул. Массив Радужный, ул. Массив Радужный, 4 (разворот), обратно ул. Массив Радужный, 
ул. Левитана, Св.Ив.Монастырь.","05:50-21:00","20(18)","100(90)","38,1 км","120 мин"
66,215,"мт мк","ул. Бугаевская - 16ст. Б. Фонтана","ул. Бугаевская, 38, по ул. Бугаёвской, 
ул. Средняя (разворот), с ул. Бгаёвской на 
ул. Грушевского, ул.Ак.Воробъева, ул.Краснослободская, сп.Скидановский, ул.Манежная, ул.Ольгиевская, ул.Нежинская, пл.Тираспольская, ул.Преображенская, ул.Троицкая, ул.Екатерининская, ул.Новощепной ряд, ул.Водопроводная, Люстдорфская дорога, ул.Космонавтов, ул.Ак.Филатова, пл.Толбухина, Люстдорфская дорога, ул.Комарова, ул.25-й Чап. Дивизии, ул.Ак.Королева, пл.Независимости, пр.Ак.Глушко,  ул.Львовская, пер.Дачный Фонтанская дорога, 16-я ст. Б.Фонтана.","Фонтанская дорога (16 ст.Б.Фонтана), ул.Дачная, ул.Львовская, пр.Ак.Глушко, пл.Независимости, ул.Ак.Королева, 25-й  Чапаевской дивизии, ул.Комарова, Люстдорфская дорога, 
 пл. Толбухина, ул. Ак. Филатова, 
ул. Космонавтов, ул.Водопроводная, пл.Старосенная, бул.Итальянский, ул.Новощепной ряд,  ул.Екатерининская, ул.Жуковского, пл.Тираспольская, ул.Нежинская, ул.Дворянская, пер.Лютеранский, ул.Градоначальницкая, сп.С. Олейника, ул. Маловского, 
ул. Рачкова, ул.Ак. Воробьева, М.Грушевского, ул.Бугаевская ","06:30-18:45","16(16)","64(64)","35,6 км","120 мин"
67,220,"об мк","Рыбпорт – ЦПУ «Вокзал»","Рыбпорт,  Совиньон, 
ул. З. Космодемьянской, пр.Свободы, пр.М.Жукова, пр.Ак.Глушко,
 пл. Независимости, ул.Ак.Королева, ул.25-й Чап. Дивизии, ул.Комарова, Люстдорфская дорога, ул.Водопроводная, пл.Старосенная,  Ж/д вокзал","пл. Старосенная, ул.Водопроводная, Люстдорфская дорога, ул.Комарова, ул 25-й Чап. Дивизии, ул.Ак.Королева, 
 пл. Независимости, пр.Ак.Глушко,
 пр. М.Жукова, пр.Свободы, 
ул. З. Космодемьянской, Совиньон, Рыбпорт","06:30-19:00","2 (-)","8 (-)","34,6 км","120 мин"
68,"220а","мт мк","Рыбпорт – Экономический ун-т","Рыбпорт, Совиньон, 
ул. З. Космодемьянской, пр.Свободы, пр.М.Жукова, пр.Ак.Глушко,
 пл. Независимости, ул.Ак.Королева, ул.25-й Чап. Дивизии, ул.Комарова, Люстдорфская дор, ул.Водопроводная,  ул. Старосенная, ул. Одесса Главная, Итальянский бул., ул. Ришельевская, 
ул. Новощепной ряд, ул. Екатерининская, ул. Ланжероновская, ул. Гаванная, 
ул. Маяковского, ул. Преображенская (Экономический универститет)","ул.Преображенская (Экономический университет), ул.Бунина, ул.Екатерининская, ул.Новощепной ряд, ул.Водопроводная, Люстдорфская дорога, ул.Комарова, ул 25-й Чап. Дивизии, ул.Ак.Королева, пл. Независимости, пр.Ак.Глушко, пр. М.Жукова, пр.Свободы, 
ул. З. Космодемьянской, Совиньон,  Рыбпорт","06:00-20:50","29 (25)","145 (125)","50,6 км","124 мин"
