"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
11,23,"мт мк","ул. Ядова – Промрынок 7км","ул.С.Ядова, ул.Ак.Воробъева, ул.Краснослободская, ул.Балковская, ул.Мельницкая, Ивановский путепровод, Овидиопольская дор, Промрынок 7км","Промрынок 7км, Овидиопольская дор, Ивановский путепровод, ул.В.Стуса, ул.Строганова, ул.Желябова, ул.Балковская, ул.Краснослободская, ул.Ширшова, ул.Слободская, ул.Ак.Воробъева, ул.С.Ядова","03:30-15:25","7 (7)","35 (35)","27,3 км","90 мин"
12,"100а","мт мк","ул. Высоцкого  – 
Ж/Д вокзал","ул.Высоцкого, ул. Ген.Бочарова, Днепропетровская доророга,  Южная дор., Николаевская дор, ул.Ат.Головатого, ул.Приморская, сп.Польский, ул.Польская, ул.Еврейская, ул.Осипова, ул.М.Арнаутская, ул.Гимназическая, бул.Итальянский 
(Ж/д вокзал)","бул.Итальянский (Ж/д вокзал), 
ул. Л.Шмидта,  ул. М.Арнаутская, ул.Осипова, ул.Еврейская, ул.Польская,  сп.Польский, ул.Приморская, ул.Черноморского казачества, Николаевская дор, Днепропетровская дорога, ул.Ген.Бочарова, ул. Высоцкого","05:30-24:00","5(-)","50(-)","37,8 км","100 мин"
13,104,"об мк","ул. Марсельская – пос. Шевченко","ул.Марсельская, пр.Добровольского, ул.Заболотного, ул.Луцкая, ул.Центральная","ул.Центральная, ул.Луцкая, ул.Заболотного, пр.Добровольского, ул.Паустовского, Днепропетровская дорога, ул.Марсельская","06:00-18:00","1(1)","3(3)","15,1 км","60 мин"
14,"105а","мт мк","ул. Холмистая – ул. 7-я Пересыпская","ул. Холмистая, ул. Главная,
 Балтская дор., ул. Долинская, ул. 7-я Пересыпская","ул. 7-я Пересыпская, ул. Долинская, Балтская дорога, ул.Главная, ул. Холмистая","06:30–21:00","2(2)","60(60)","7,0 км","20 мин"
15,105,"об мк","п. Жеваховский 
  (ул. Холмистая) – рынок «Привоз» 
(ул.Преображенская)","ул. Холмистая, ул. Главная, Балтская дор., ул. 7-я Пересыпская, ул.Ат.Головатого, сп.Херсонский, ул.Пастера, ул.Ольгиевская, ул.Нежинская, пл.Тираспольская,  ул.Преображенская, ул. Преображенская, 94 (рынок ""Привоз"", конечная остановка автобусного маршрута № 111)","ул. Преображенская, 94 (рынок ""Привоз"", конечная остановка автобусного маршрута 
№ 111), ул.Преображенская,  пл. Тираспольская, ул. Нежинская, ул.Торговая, ул. Пастера, ул. Конная, ул.Софиевская,
 сп. Маринеско, ул.Черноморского казачества, ул. 7-я Пересыпская, Балтская дорога, ул.Главная, ул. Холмистая","06:45-18:30","1 (-)","4(-)","22,6 км","70 мин"
16,"108а","мт авт","ул. И. Рабина – 
ул. Пишоновская","ул. И. Рабина, ул. Ген. Петрова, ул.Космонавтов, Люстдорфская дорога, ул.Водопроводная, пл.Старосенная, б-р Итальянский, ул.Ришельевская, ул.Новощепной ряд, ул.Екатерининская, ул.Жуковского, пл.Тираспольская, 
ул. Тираспольская, ул. Новосельского 
ул. Торговая, ул. Старопортофранковская, 
ул. Пишоновская, ул. Дюковская, 
ул. Композитора Нищинского","ул. Композитора Нищинского,
ул. Дюковская, ул. Пишоновская,
ул. Стаоропортофранковская, ул.Торговая, ул.Новосельского, ул. Троицкая, ул.Екатерининская, ул.Новощепной ряд, ул.Водопроводная, Люстдорфская дорога, 
ул. Космонавтов, ул. Генерала Петрова, ул.И.Рабина","06:30-21:00","5(5)","40(40)","22,5 км","75 мин"
17,110,"об мк","Сан. Куяльник – ЦПУ вокзал","сан.Куяльник, ул.Лиманная, Николаевская дорога, ул.Атамана Головатого, ул.Приморская, сп.Польский, ул.Польская, ул.Еврейская, ул.Осипова, ул.М.Арнаутская, ул.Гимназическая, ул.Пантелеймоновская, 62 (Ж/д вокзал)","ул.Пантелймоновская, 62,
 ул. Ришельевская, Итальянский бульвар, 
ул. Пушкинская,  ул. М. Арнаутская, ул.Осипова, ул. Еврейская, ул.Польская, сп.Польский, ул.Приморская, ул.Черноморского казачества, ул.Николаевская дорога, ул. Лиманная, сан.Куяльник","08:00-17:20","1 (1)","2 (2)","26 км","90 мин"
18,111,"мт мк","пос. Усатово 1- Рынок «Привоз»","Усатово 1(ул. Гагагрина),ул. Ленина, 
ул. Тепличная, Тепличный комбинат, 
ул. Ленина,  ул.Хуторская,  ул.Известковая, Ширяевский пер., 
ул. Одария,  Херсонский спуск, ул.Пастера, ул. Преображенская 
 (р-к Привоз)","ул. Преображенская  (р-к Привоз),  
ул. Нежинская, ул. Ольгиевская, ул.Старопортофранковская, сп.Ольгиевский, сп. Крансослободской, 
 ул. Известковая, ул. Хуторская, ул.Ленина, Тепличный к-т, ул.Тепличная, ул. Ленина, Усатово 1(ул.Гагарина).","06:00-19:00","10 (7)","60 (42)","27,2 км","80 мин"
19,112,"об авт","Тепличный к-т – Тираспольская пл.","Тепличный комбинат, дорога на кирпичный завод, 
 ул. Хуторская, ул.Известковая, 1-ый Известковы пер., Краснослободской спуск, ул. Балковская, Херсонский сквер, ул.Пастера, ул.Конная, ул.Нежинская, пл.Тираспольская. ","пл.Тираспольская, ул.Нежинская,  ул.Ольгиевская, ул.Старопортофранковская сп.Ольгиевский, сп. Краснослободской,  ул.Известковая, ул. Хуторская, дорога на кирпичный  з-д, Тепличный к-т.","06:50-18:35","1 (1)","4 (4)","18,6 км","64 мин"
20,115,"мт авт","Сахарный пос.-
 пл. 10 апреля","ул. Пестеля, ул. Грушевского, ул.Балковская, ул. Средняя, ул.Косвенная, ул.Степовая, ул.Б.Хмельницкого, ул.Пантелеймоновская, ул.Ришельевская, б-р Итальянский, ул.Среднефонтанская, ул.Семинарская, пр-т Шевченко, 
пл. Десятого апреля, ул. Генуэзская, 
ул. Посмитного, ул. Тенистая, 
ул. Черняховского, пл. Десятого апреля. ","пл. Десятого Апреля, просп. Шевченко,
 ул. Пироговская, ул. Марьиинская, Итальянский бульвар, ул. Белинского, ул.Пантелеймоновская, ул. Мечникова, ул.Б.Хмельницкого, ул. Степовая, ул.Косвенная, ул.Колонтаевская, Автовокзал, ул. М. Грушевского, ул.Пестеля","06:30-17:35","8(2)","48(16)","24,9 км","70 мин"
